airline_sentiment,text
negative,publicly asked detail flt sent dm like asked yet day hear unitedfail
positive,flight attendant regains karma giving big sweaty dad cold water guy running amp carrying daughter last one onboard
negative,really hoping get help th attempt get resolution lost count transfer help please mileageplus
neutral,httptcouczzpyphk click lounge tab need flying supported sa airline
negative,sent dm file reference number want know someone located bag even yet
positive,want shout thank pilot staff feb flight newark boston pm super helpful
negative,help ua cant take without missing galley cart one find pax seated last hour
neutral,grandma ellas th would love birthday greeting flight crew stewardess eastern airline
neutral,hiring flight dispatcher chicago il network operation centerl httpstcolioocpteq
negative,doesnt make sense ive k year youre making harder keep loyal
neutral,updated power outlet seatback tv yet flying ord tokyonarita th
negative,need get cousin pdx shes day travel weve hire sitter til arrives thx
positive,keep flight cheap earlyon time good flew cancelled flightled flight time last month unitedgt
negative,premier desk able rebook friend problem pay checked bag
negative,thought nothing happened
negative,im booked return flight
negative,flt ord correct per dm flight ord cvg charged incorrectly
negative,need change way customer service handled waiting supervisor contact day give
negative,need talk actual person missing luggage please advise make happen
negative,know see estimated time dep dont understand wasnt better estimate hr ago
neutral,news
negative,trick making u look popular twitter worst airline wellplayed jokesonus
negative,request refund charge twice first place
negative,ill calling soon going tomorrow like show app good option
negative,ive filled form twice email lost item code verify received
positive,message sent thank
negative,thats told refund doesnt really makeup inconvenience caused missed meeting
neutral,year van gogh fan visit europe httptcoeeofthgaj
neutral,year van gogh fan visit europe httptcoeeofthgaj
negative,please explain need pay bag fee twice equally delayed flight resulted bag rechecked overnight
negative,watched entire uncvsduke game tarmac cancelled flighting flight crew timed right hr flight
negative,reflight booking problem would made reach time meeting also didnt wanna take chance booked instead
neutral,eat airport areyounew incompetent nonumber feeltheheat
negative,vacation day relevant ritz pr night losing day idiot sleeping newark ramada priceless
negative,time spent night trying sleep toddler bed airport ramada without luggage kidnapped furious
negative,calling check future flight first agent hung sent pet travel line hell
negative,fyi siteapp still show plenty unavailable flight error almost hr sellout flying
negative,sure youve saying long ive tweeting obsolete fleet promise free
positive,followed messaged thanks much help
neutral,thats concerned
negative,please consider letting flyer overhead bin item boarddeplane first first class make sense
negative,never flying unitedairlines ever checked bag lb angrycustomer unitedairlinessuck
positive,thanks jt
neutral,trying locate passenger landed hr ago ua assist flight still custom please help
positive,thank la something special
negative,flight turned around mechanical reason never fly united dont check plane properly
negative,customary upgrade flight attendant uniform v passenger one b flt iah
negative,really addressed somewhere website find completely irritating amp unable take flight
negative,ua hr mechanical delay get voucher tweet book next trip ua
negative,spends minute beating lady bag fee random stranger come pay fee randomactsofcorporategreed
neutral,fee
negative,hii still waiting refund ridiculousor u approve ticket u give refundplease advise wht going
neutral,hi booked flight yesterday received email w confirmation number today got error active flight segment
neutral,update dot looking united fare london u last week
negative,thanks mr got rebooked already lost first class seat life
negative,booked flight yesterday appeared account confirm email since hour disappeared err segment
negative,boarding cant agent phone taking care k traveller link reservation
negative,ewr ppl told call xday since monday still layover loc ref tho help appreciated
negative,ruth helpful rerouting u punta cana dulles connection failed rep helpful
positive,thank
negative,booked time called told confirmed linked even make change rez
negative,board flight cancelled flight doesnt pilot miss meeting atlanta someone slept
neutral,dont milage number cant sent mail via dm youre following follow sent dm
negative,response week since complaint submitted day since said would look
negative,thx come hell high water
negative,worried cold weather snow would delay u morning pilot stillwaiting
negative,rushed degree weather get airport time bad pilot didnt stillwaiting
neutral,refund
neutral,aisle please
positive,thanks quick reply fill form idnumber hopetogetanswersoon
negative,handed slip paperampsaid call called xday trying get sent still layover airporthave ref tho
neutral,good maybe make losing medallion probablynot
positive,thats fine ill take
neutral,live abroad flight booking problem flight come visit state
neutral,
negative,recap bounced flight lied hung supposed thinkdo
positive,thank second flight already got bumped st love
negative,said would need get supervisor waiting supervisor hung
negative,called lady overseas call center said saw note explained situationagain
negative,could access seat map said would note upgrade itinerary call back late flightr
negative,spoke someone feedback line last night said would get preferred choice seat today
positive,good ill call tomorrow thanks
neutral,next day
neutral,filled form havent received sort email confirmation received normal
negative,loses luggage loses reservation hour travel day want get
negative,oh flight fine lost luggage much look like ill least half day late flight conference santa monica
negative,h flight without working screen friend possible move another place unitedfailsworsttripofmylife
neutral,_airline n dreamliner leaf london heathrow httptcoaiyzwtza
negative,gj flight didnt wifi even though promised ground crew anotherdisappointment
negative,gj agree hour late flight arrival unacceptable hope pray bag
negative,unhappy uniteds service read ralph naders open letter uals ceo leave comment rt httptcooapiau
neutral,ok dm info
negative,best seat paying customer get board first badcustomerservice
negative,happens time united pilot always exit row america treat customer better employee
negative,yes got gate specifically asked seat discouraging walk past crew
neutral,koalax fresh food service right
positive,omg thank u
negative,unavailable leg registered hour sold option offer min ticket travelocity
negative,error message said couldnt process request last step seat selection leg agent unaware
negative,soon going wait time gate empty msp airport flight min still counting
negative,horrible wait time get gate show total miss management value customer time respect thier sentiment
negative,disappointed service starting gate operator bos rude stopping carryon bag
negative,service suck mexico houston finally realized snack inst dont work cheap
neutral,thank
neutral,okay thank
neutral,snack available fresh foodnot sure happened im sure grab bite sfo connection
negative,guy flight follows threat sue couldnt carry bag defend free
neutral,done requested
negative,pls post video belligerent jerk ranting sfo thats he going sue making check rd bag he hoot
negative,gj believe hand worst service ive ever experienced make look amazing unitedairlines
positive,please give special thanks aaron tampa office helping literally two hour he amazing mission accomplished
negative,cant tellpurchase website put u lufthansa flight first leg
neutral,turkish airline rebooked u united flight second leg fra gt iad way check upgrade available
neutral,hey left favorite blanket plane bring back home
negative,gj funny attendant recommended tweeting letting know subpar customer service runaround
neutral,followed amp dmd
neutral,want hotel room whiskey
neutral,flightgotta make connector
neutral,ok noted detail dmed shortly
negative,b gate far though
negative,ua ric ua ord amp ua den delayed nonweather issue way go youre batting hotel
negative,would made hadnt already booked another flight cancelled flighted original reservation
negative,book reward travel august everything blacked
positive,win
negative,trying change flight booked hour ago online system charging fee per passenger could please help
negative,submitted complaint need compensated long take
neutral,info delay sfo tomorrow due low cloud
negative,horrific flight experience guy made never want fly airplane every
positive,flight rsw tonight amp twin year old pilot row stayed help get boy amp bag lifesaver
negative,flying united oversorry captain still minute preflight preparation make sat air
neutral,thanks
positive,yes thx landed
negative,get clue kmm miler response give
negative,trying get email talking business people expect airline wifi
neutral,finally arrive bogota good long flight
negative,tried already cancun one delivered
negative,illegal breach contract touch customer feedback
negative,way treat customer lot issue worth headache went thru
negative,yes ewr corrected fact beought u share room unexpactable
neutral,want make day friend premier amp soon chance upgrade two hr leg flight ecom plus
negative,please review fix baggage procedure dulles happens every week sister travel airline
negative,nothing else gj customer service
neutral,thats course lax
neutral,ok thanks counter located late flight open
negative,oh im rebooked hour original arrival time talk compensation
negative,coworker conflict hotel issue trying share posted facebook page erased
negative,lost parent luggage cancun said would delivered hotel pm almost pm
negative,watched connecting flight den pull away gate pull gate slapintheface
negative,version row window go ahead check well wait
negative,im pretty sure ive got shin split sprinting iah watch plane pull away jet way
negative,well income flight dca take u ewr delayed made u miss connection fll yes hotel necessary
negative,please stop cancelled flightling flight trying get home take two exam tomorrow youve cancelled flightled flight
negative,amp ive hung twice staff upset right
neutral,dcaewr flight
negative,hour flight fll ewr waiting hour plus bag sign yet give
negative,better airline continental service fee flight booking problem fee talk human fee fu
neutral,chance could look problem earlier
negative,despicable spoke many diff people amp everyone telling something different claim need bag
negative,come crew traveling flight get better seat get stuck checking bag crew bag got flight
negative,funny thing happened arrived flight denver gate currently scheduled depart sydney lol
positive,forgot intl flight lax dont go intl terminal easiest recheck ever woo
neutral,please tell united fly sydney australia pref asia pac u voucher redeem
negative,cant claim weather hardworking crew pulling seat plane right thing know wont
negative,youre missin point weather youre lying seat broken u claim weather get hotel classy
negative,trying break world record delayed flight year
neutral,flight dont appear applied mileageplus account help
neutral,_australia im aussie cowgirl lookin cowboy take fort worth estelle say ill find
positive,okay thank help
negative,captain said pm flight san francisco delayed due weather ua departs failagain
positive,thanks
negative,bet doesnt turn thirty minute delay original flight hour delayed arrive time
positive,best way reunite one true love shopping usa fashion capital newyork unitedvusa httptcorbnstuij
neutral,find way distinguish boarding premier member credit card holder group big
negative,final destination booked united quantas united yet contacted auckland unaware case id number
neutral,air dmd
negative,worst flying experience ever past three day airline need get together lost customer
negative,yes
negative,customerservice fail long time flyer switching airline frustrated
positive,okay thanks help jt appreciate time
negative,screwed professor maybe tell everyone aviation airport airline innovation startup tech
negative,right thing reinstate ticket voided unitedfail
negative,negative done wasting time amateur customer service thanks least offering
positive,week ago awesomebright vibrant habitrails
positive,worry everyone boarded cushion brought took made
neutral,sprinted c concourse e made coughed lung process clt tnx
neutral,hey think someone could meet book arrive yes please amypoehler oscar took
neutral,hopefully give feedback bafore flight
positive,good flight thank
negative,dm hold customer service long time min getting runaround thanks
negative,im asking simplify communication thx
positive,yes lhrt lounge fantastic u one could remotely similar
negative,omg bag yyzua enough shenanigan already getting real old real quick
neutral,see hour thanks
neutral,invite fallow learn activitiesprevention program health condomrito familywe r cthanks
neutral,nice lhr congrats im sticking aaba _airways
negative,long take mile repurchased expired show recieved email request
negative,please stall flight ord get sna tonight
positive,thanks
negative,get gate ua turrible
negative,worst airline lost luggage delayed flight unaccomidating
neutral,flight
neutral,flight n arrives following flight httptcorvcdannme
positive,officially favorite airline created magic day friendlyskies careyon
positive,wonderful flight attendant named leah u lga den den anchorage
positive,protected flight gate agent kerry la also excellent job getting destination today thanks
neutral,yes dm
positive,staff deck cabin ua sfo gt bos exceptional today please tell well done
negative,mean real live person somewhere go speak newark post security
neutral,hi bought flight united ebokeers paris miami chance check everything ok
neutral,worry think control email keeping informed
negative,talked themon standby tomorrow doesnt look good may stay till friday amp thats guaranteed
neutral,jt ord phl flight pm cdt delayed dm im kinda hoping stranded ord either
neutral,happened flight status map cool
negative,plz dont advertise wifi gonna work thanks worstflightever
neutral,hi guy submitted request tickethotel reimbursement delayedover night stay coming back dominican help
negative,apologize president employee blamed heard repeated time
neutral,yes want complain coworker neither customer service point airside
negative,change fee exact flight atlhou charge math doesnt add
negative,hello im overseas amp bag lost cant call customer service help
positive,landing anchorage way fairbanks httptcofjkvqmbmas
negative,knew shouldve flew lol
negative,ua ewrmco feb wifi never connected allowed purchase access twice amp charged need file claim
positive,thnx
positive,admit youve rather good year youve still got hooked peace
positive,kinda funny worry
negative,feedback concern via site arent going improve poor airport experience
negative,dropped bag newark desk guy rudest customer facing person met even two child shocked
positive,great looking forward response dm
negative,quite enjoyable except he stuck runway houston
positive,thank getting daughter home cancelled flightled flight nashville
positive,thanks reupgrade st class may min flight appreciated
negative,make total sense except flight wasnt full ive got empty seat around amp overhead half open boarded
neutral,sorry hear flight need help reflight booking problem
negative,trying get san juan chicago ohare lot problem may get standby flight
neutral,alright thank page say route aircraft specifically
negative,well sortawe r trying get aquadilla pr flight go day booked ua cancelled flighted flight nj
negative,cost change city origin flight httptcofmzzoltv cost customerservicefail
neutral,sent long note suggestion thanks getting back
neutral,least u ua ord waiting deplane catch ua clt chance waiting last second u
positive,done thnx
negative,im still frustrated gave seat amp promised travel certificate withheld wo explanation httptcokvfwajvvid
negative,gotta love giving st class upgrade bc flight delayed get another flight also delayed ensure make connection
neutral,pty pit via iah
negative,sure happened msp yesterday unhappy bag delayed sat msp hr b delivery
neutral,possible redeem mile one part round trip itinerary without book two separate reservation
negative,im flying way back rarely fly let see better
neutral,sent
negative,almost like punished living near large metro area ewr top ranked domestic delay good
positive,honestly stopped trying report thing via website laugh flight work mile accrue im sure cosmetic
negative,thanks weather understandable every single domestic flight delayed inbound intl flight crazy
positive,houstonbogota boarding safety first seems mechanic fixed problem faster good energy fly homefamily
negative,tag number luggage taken weigh scale appears sent conveyor belt without tag
positive,reported still istanbul moment apparently plane haha hat pilot
neutral,understandable try flight booking problem several time passenger amp got message mentioned agent price
positive,hey awesome thanks reply filling form
negative,flying tomorrow mexico u mileage tkts dont show k status help
negative,correct date
negative,phone rep none could see rebooked missed flighttold go standby nonexistent late flightr flight hurt
negative,report filed airport police th th februaryi police case number required
negative,cant dm youre following lly rebooked ua still need seat
negative,supervisor situation stacey took detailsno claim number given u
negative,hour since boarding began still sitting gate ua
negative,tks reply psp employee blamed late flight departure potus main reason dvr flt late flight amp insufficient ground crew handle
negative,took one window also fun get motion sick httptcomrvblxs
positive,pilot fa ground personnel great job weather blame talk
negative,find text funny considering still sitting seat need changed httptcololuwfci
negative,houstonbogota engine problem mechanic trying fix problem safety first better change plane
negative,thanks make sense annoying cant determined better
neutral,patiently drinking tweeting experience
negative,blame giving time get drunk tell feel overpriced sub par airline
negative,idea u dont want u frustrated dont cancelled flight flight crew overflowed toilet get plumber
negative,patient luxurious middle seat next delayed flight
negative,patient agent explains booked new flight plane doesnt arrive
negative,please help trace luggage put without name tag february albuquerque airport
negative,patient let string tweet go showing people bad business
negative,think guy half full flight held overbooked pm flight fill one cancelled flightled mine
neutral,inflight promo tv includes brian williams tough edit quickly complaint observation
negative,thanks ill fill form one read responds
negative,patient refused switch flight bc checked bag cancelled flightled one
negative,sent dm last week suit regarding error response given please answer dm tell send suit
positive,try standby denver tonight cancelled flight father son trip till next year thx trying
negative,wrote got nothingand u simple thingwill ypu provide compensation delay
neutral,many currently operate aircraft operate
negative,dont want customer frustrated thank patience jt lovely sentiment one
negative,different departure arrival update ua hr please
negative,nope really window f one one none sad
negative,vegan meal creative noodle pea zukes nonvegan yogurt acceptable vegan better
positive,well thanks charging switching two cancelled flightled flight anyway pretty nice stillmakingmepoorthough
positive,well john hughes birthday stick w plane amp hold train amp automobile gate worker well
negative,son left tablet plane country call easily email contact
negative,show new program beneficial longstanding loyal consumer
negative,hear blah blah blah shoulda used buy ticket instead amp ill driving flying
negative,yes supposed pm board meeting tomorrow finger crossed
negative,thanks letting switch flight bc checked bag cancelled flighting flight forcing take another hr late flightr
positive,thank love united flight today
positive,thanks checking
negative,informed dont reimburse issue due weather flight keep getting cancelled flightledthor hate
negative,midland couldnt get bag connect intl flight sydney get em la amp check em
negative,may last time fly airline
negative,company motto care heard several time employee client past week idonotcare
negative,tell staff lax boarded group end queue gold member thanks nothing
negative,missing crew passenger doc problem frozen toilet plane give money back ua
positive,fantastic job people today ua dublin jam packed plane crew wonderful
negative,min departure one waiting pressed ground staffer threatened want get sf today fail
negative,flying lax sfo system wont let check site tell tell
negative,btw managed time departure time destination amp wouldnt take away year old kid bag
positive,go ahead live premium cabin im heaven en route lhr
negative,feeling poor churchmouse level dollar enough make grown man cry im grown man tear happened
negative,sure plane hour late flight ontime departure ship sailed away long time back
negative,ua mligtden miss connection ua dengtyeg due delay
negative,come airline flight last year make check carryon even gate checkbaggage claim
negative,change airport actually get flight flight fay cancelled flightled twice taxi ride rdureimburse
neutral,operated united heathrownewark flight
negative,yes course treat customer recourse
negative,stunned bag hartford ord ground crew hour move bag yard
negative,someone assist dm waiting hour phone hour twitter
negative,flight overbooked offered voucher wait amp take another flight gate agent switched retracted voucher offer
positive,thank
positive,thanks helpful understand reduced price seat sold checkin priority certificate
negative,million miler ive delayed plenty never amateurish way id embarrassed affiliated
negative,airline claim low fare guarantee wont honor lower fare found
negative,another delayed united flight surprised upset im mostly disappointed cancelled flight trip dad
negative,still cant dm lh
positive,thank margo houston bush intercontinental getting home earlier
negative,booked flight w saw price time searched wasnt least bit frustrating customerservice
negative,thanks didnt want see weve started flight search fare amp rule itinerary changed
negative,cat flight delayed hour arriving hawaii amp wont able pick tomorrow
negative,mind getting next flight
negative,youve lost bag least nobody done anything help absurd
negative,whats reduction e k longer confirm e forget upgrade want legroom unitedfail
negative,offered voucher switch flight voucher offer doesnt exist amp gate agent switched delayed flight
neutral,southwest u mechanical problem least gave u round trip voucher step plate flight
negative,usually like flying guy fee use credit seems ridiculous notcool exhorbitantfees
negative,thanks much missing bag nonexistent staff apparent remote outpost busy airport city
negative,friend lost luggage flight
positive,sweet follow back ill get dm
neutral,reservation changed longer make connecting flight change without incurring fee
positive,good next flight little delayed worked
neutral,flight
negative,boarded ua refused carrying overhead bag space plane load space fail customerexperience
negative,get act right lost customer staff wouldnt let u take approved carryon half empty flight
neutral,raise dispute cc provider hopefully clear
negative,held almost minute promised free movie didnt work neither wifi paid boo
negative,nice partner delay keep increasing every min httptcoateafncr
negative,ua admit clue flight leave denver unfriendlyskies
negative,yep long waiting phone managed rebook hope pleasent one thanks ur help
negative,worst experience ever flying
negative,ua inbound flight dep time get closer push back min youve hr
negative,flight mke ord getting delayed gate attendant communicating
negative,plane sound like dj scratching normal eventually new entertainment fee
neutral,chase say referral bonus thanks
negative,trust united future flight booking problemss confirmed ticketed purchased ticket cancelled flightled fact
negative,rebooked one late flight
negative,nd late flight flight today
negative,u miss first leg ur flight pay hundred keep second leg much keep earned mile
negative,iad buf incredibly loud like third world inner city metro bus lowstandards httptcomwnbglxq
neutral,cancelled flighting bought ticket friend cant get credit name
positive,boeing star alliance short final l amazing winter morning avgeek httptcoowmaxoyehz
negative,day one flight roundtrip
positive,blown away stellar custserv thank lt httptcojorescfbx
negative,overall experience flying friendly
negative,good start would warm plane departure time flight isnt delayed due frozen water line
negative,annnnddddd im going lose first class seat flight shuffle
positive,nicest gate attendant newark airport gate right multiple delay still pleasant everyone
negative,hour mechanical delaykilling
negative,every time check bag airline im confident wearing clothes day please prove wrong
neutral,trade show come awesome deal sunkist httptcolscwphph
negative,thanks united running water late flight flight grand rapid denver
negative,kn allowing bypass receipt refund request form never received receipt email charged httptcocjuxpk
neutral,please help left ipad air flight nyc paris yesterday cant get touch anyone locally
negative,happen really confuses st content come screen technology forward united
negative,mean like mailing address rate surliness united coworkers im guessing benefit arent great
negative,already sent feedback rep told priority im speechless system
negative,monopoly doesnt mean treat frequent flier like crap
negative,yeah bag way per usual im actually getting used getting delivered kind nice sense
neutral,much baggage check international flight
negative,take week new mileageplus premier card sent stillwaiting doesntfeellikestatusyet
negative,wonder people hate dealing airline ridiculous inflexible policy need phone number resolution
negative,levd pnr numbered flight first leg cancelled flightled due bad weather iatanbul make reflight booking problem
negative,suggests cant confirm cert time flight booking problem assume may never clear didnt used way
positive,thanks explanation seems like odd incentive structure tho dramatically diminishes value cert
neutral,sfo clearvision tvu united terminal sfo airport httptcoqbynpctf
negative,dont really care comfort care profitability thats fine unfriendlyskies
negative,honest customer new seat designed fit row plane row money
negative,missing wedding delay would cool
negative,designed deter people forgetting thing provide storage space article say latter unfriendlyskies
negative,think missing meeting worth flight voucher fly time would make right
negative,pile time update flight tv package httptcolugmfvwsa
negative,hard add meal preference booked ticket forgot amp impossible even called
positive,amazing really
negative,learn hold connection texted another flight late flightr connection hasnt left pulling gate
neutral,credit flight cancelled flightled new flt booked yr orig purchase date flown date
neutral,partner first trip nyc bought ticket time please seat u next conf ilchp
negative,ridic cant transfer credit amp youre taking cancelled flightling atleast let keep credit damn
positive,thank one month ago none weird dont club one busiest airport u
negative,plane took gate waiting lot dia
negative,flight omaha chicago en route nyc seating partner separate please fix re ilchp
negative,airport self checkin option im employee training bitch send paycheck asap
negative,website say day counting
neutral,one last thingunited club crackersnabisco pepperidge farm
negative,lack customer service astounding httpstcormpkogwu daysofhell
neutral,ha happened year ago havent flown since
negative,bag day late flight like rd time past couple month free mile
negative,course helpless everyone else
positive,flew ord miami back great crew service leg thanks
negative,year old flying tokyo vacation bad knee happens httpstcormpkogwu
negative,another week passed hoped would response
negative,there reason take day respond
negative,yes know question still case fail
negative,exitrow window shade approx window rjs lta frequent flyer httptcoaoeaeszdlx
positive,worry customer service get bad wrap spoke w agent saved huge amount time amp apologized yesterday
negative,excuse leaving minor spend night sobbing hour plastic chair uas action terrible united
negative,perhaps could fix httpstcormpkogwu httpstcohlngbtx answerthis
negative,wife sharing dreadful experience dont pretend ua care young girl traveling alone united airline
negative,jh going process refund wifi asking receipt never received email guy whacked credit card
negative,dont post link article verifies initial complaint comment saying thing
negative,breaking somehow make longer dont cut circulation leg unfriendlyskies
negative,people status get buy upgd much less cost ahead premier earned confirmed certificate
neutral,please burn dream burningman ticket sale today
negative,worst agent u ft lauderdale airport passenger stand line getting status alert amp still didnt make announcement
negative,get free upgrade problem weve reservation mkwlkr
neutral,send personal plane get u school icing dont want get stuck _donneiiy
neutral,start xweekly b flight neworleans cancun maysep avgeek
neutral,fail set song httptcoaxpnxiqb united break guitar lt lmao
neutral,yes would love upgrade voucher please give call
neutral,come cheaper fly bkk neven though get bkk take extra flight nrt
negative,regard flight couple week ago im frustrated policy amp expressing
negative,thanks reaching seat hard enough cushion ok short flight btw ua flight crew great
negative,surprise otherwise flight dont good feeling airline
negative,told lostyou guy dont know
negative,landed day late flight almost sleep feel sorry woman consoled who mother died night
neutral,sfodfw also sfoord
negative,disappointedunited feed small child amp half hour flight honolulu los angeles appalling esp food waspaid
positive,thanks supervisor miriam provided great customer service finally
negative,filled airport part long day made longer
positive,today staff msp took customer service new level father passed away last night amp helped get home today thanks
negative,ua delayed winnipeg plane frozen fail make connection ua tightconnection denver
negative,delayed hour missed connection due mechanical issue st flight rebooked please call
neutral,flying stl saturday expecting ice amp snow start looking travel waiver thanks
neutral,add mile january air china flight mileageplus account
negative,know update every hour telling dont know bag also equally irritating coltsmissingbags
negative,lightyears ahead security control newark airport wasted precious min w bad efficiency frightening
positive,great thank
neutral,submitted status match last week heard back im delta customer looking switch united please assist
negative,montego bay going back gate bc person late flight awful service came time
negative,right guy charging air breathe next
neutral,get namesdallas flight chicago
negative,word sorry sorry plenty airline travel lot
negative,delayed united gate agent borderline rude asked flight status question happening united
negative,need speak supervisor someone willing help use credit asap letsworktogether
negative,give service terrible wasnt forced use united certain route never would
positive,club denver dope
negative,im checked agent wouldnt tag bag im standing line hell
negative,never going get gate rate
negative,getting ridiculous missing connection
negative,couldnt use confirmed upgd cert gave bc decided sell anyone biz seat bother giving
negative,locked account needed access book flight
neutral,january th
negative,chance troubleshoot check in minute per person
negative,earth could close united club atlanta major fail airport size
positive,sorry hear outsourcing plan boise best staffcust service country boise
negative,lgaord ua get agent name argument baggage policy
negative,yes staff rude unempathetic needed jacket tablet got u take carryons cause plane fulldont lose em
negative,monday evening
neutral,pri boarding active military uniform cant travel uniform opsec reason even official travel
neutral,leisure military personnel safety reason r highly recommended travel uniform
negative,ticket counter master smf helpful
positive,cool thanks
negative,baggage shannon never mind u work giving back
negative,youre listening lowest provider inflight wifi get time
negative,thats funny emailed found hadnt left lhr mean time stuck bag nyc
negative,biggest joke companyi never fly day waiting bag dont even know
negative,havent updated flight delayed super frustrating
neutral,long expect formal response take
neutral,hi flying domestic first sea hnl pay use lounge fly international thanks
neutral,mean fortunately dont want flight affected
neutral,volume profit httptcopkfibttzf aviation aircargo httptcobbjkmtyul
negative,go airline lounge w star alliance club card bcn told star alliance isnt accepted
negative,u reply customer refund form unitedairlines
negative,ltltltltlt shoddy customer service use whatsoever unitedairline
negative,ltltltltltlt reply email
negative,day since applied compensation correspondence
neutral,suck money book flight see love life mile away
negative,submitted customer care form jan th still response little longer business day
negative,clearly united life stone age people dont need computer make site better tablet phone
negative,dealing via email anything crappy web form made mobile device
neutral,speaking flight skateboard allowed carry bagage right extra payment needed
negative,next thing know united believe dot take court united anticonsumer
negative,read last hashtag go f united make sense since f u cancelled flightling ticketed reservation
neutral,link message replying thparty itproblems
neutral,hi read weather warning east coast u would flight lhr sfo affected
positive,delayed connection customer service today ill able pay final respect dear family member thank
neutral,allowed bring duffle bag back pack carry personal item flying ny
negative,im sorry united isnt able keep word cuz totally inadequate still say customer fault
negative,know bag knew hour ago killing worst service ever
negative,stop pretending care welfare daughter united airline opportunity help n failed united airline
negative,received one previously th checked odd said complaint associated email
negative,ok pretty sure wait see happens
negative,checking tracing information got number wrong phone number amp turquoise duffle bag become black laptop bag
negative,treat service member like crap never flying unitedairlines
neutral,thanks ua den min tarmac
negative,point upc code checked baggage cant tell luggage vacation day trying swimsuit
negative,sfogtbos nonstop flight competitively priced jetblue virgin v identical time
negative,come baggage update
negative,thanks response bag came long wait priority tag werent honored disappointing
negative,hit keep coming httptcozhmfdiw unitedfail unitedwithivy
negative,hi jh yes please since lost almost whole day way could help change return one day late flightr
negative,hr searching flts find site amp cant book offered bc seg isnt really available lie falseadvertising
negative,next flight dont think ill spending anymore money guy ever bad
negative,bag yet palm spring airport lax come beat bag
negative,couldnt changed tire delayed ua flight arrived instead waiting boarding
negative,generic form ton field asking info already expected premier platinum another servicefail
negative,wtf username andor email addr signin still unavailable trying login since sunday
neutral,flying msp dxb child turn trip buy return ticket child
negative,want bag vital equipment royally screwing im cranky want update
positive,guy big heart keep good work
negative,flight sime rudest flight attendant run drink card flashlight dropped noapology
negative,disappointed partner communication extremely late flight flight really around horrible
negative,unless guy im good
negative,mile going restructured help silver status brotha thought winning guy today lol
neutral,even multiplier ticket price still never equal amount mile travel even transatlantic flight
negative,missed connection wrong city bag palm spring hotel seriously tired treated way
negative,bag werent lax like promised thing today mess today
negative,dang thought teleportation device ua
positive,received bag appreciate taking care matter following
negative,still havent received response please direct message contact information
negative,ive waiting bag iah min theyre freaking people flight waiting bag fix
neutral,game one reason payed something could work httptcohqdtkatue
positive,take note great example actually making good extremely inconvenient situation httptcotgnknld
negative,rtbgtiah first class wife global service headache due neighbor smoking e cigarette contact pls
negative,federal regulation prohibits separated bagyet lose bag thats okay
negative,tried check min flight rather min stonewalled employee
neutral,hello wondering long might take turkish airline flight show united mile thanks
negative,guy working plane
negative,almost major accident ua passing information u waiting plane
negative,said go take time go knowing issue knowing wont fix
negative,hour delay plus jetway wont move biz traveler never flying u
negative,son passenger flight chicago toronto plane came within foot colliding another plane stopped
positive,made mad called bag number person helpful told bag really
negative,yes airport person told bag still nashville filed claim
positive,thing fella done right today get pacific time zone
negative,ugh bag sent palm spring lax promised better hotel get
negative,direct messaged didnt hear anything back
negative,yup happens way often time last month
neutral,great thank ill send
negative,handle bag issue wouldnt put onto first place
positive,big pilot turning hr tarmac min delayed arrival
neutral,returned vacation went luggage service golf bag presented clear wrap couldve used first place
negative,holiday lifetime new york ruined lost luggage failed find since sunday wontflyagainwithyou
negative,golf bag didnt top cover staffer said couldnt check without type cover wrap forced leave bag
negative,offer real food american club like amazing food offer heathrow
negative,bag lost travel united please something
neutral,
negative,stuck plane hour due mechanical fault update please happened way newark lhr
negative,flight unfortunately isnt isolate flightd incident havent waited less min year
negative,mention one bag infant car seat amp weve stuck yr poor replacement icy mtn road
negative,ur hemisphere magazine im open u make flight pleasant httptcovrqdpqepfw
negative,hard believe since staff sfo checked someone name ritacomo flew ewr day
negative,late flight im tired understandably edgy trying catch flight wasnt chipper def rude
negative,rude cust ser agent busy chatting yelled bc took pic put stdby seat diff agent gave seat min late flightr platinum
negative,frequent user congrats u lost bag year problem today staff rude still bag
positive,sivi stewart lax fantastic tonight helping find lost item u airport much thanks
negative,yes though located bag yet lovely flight outside
positive,got home amid snow amp cancelled flightlations delivered bag wo hassle plus wait phone amp upgrade thank
negative,wife phone several time past day result
negative,saying customer care report anyone response humiliating company serf public
negative,unitedairlines feedback benefit correct atrocious customer service good know
negative,unitedairlines fill form never receive response expect remedy travel another airline cancelled flight member w u
negative,ewrlax ua seatarmrest broken discover takeoff flight fullfa filed report chat partial refund
negative,told go knowing issue go find wont fix
negative,made way airport say wont fix handle showed problem said go
neutral,link tweet go someone internal email gt httptcozksxitdn probably one rd party contract
negative,bother responding customer service worst never using guy
neutral,flight houston
negative,free hotel doesnt make poor customer service disregard
negative,messed refuse wait min united fault delay leave early absolutely disgusting
negative,mechanical delay occurred houston earlier today flight ord
neutral,ord roc fam came see sna im member dad used mile
positive,cc boldflavors bringing bourbon st ft bold flavor fresh ingredient dining option
negative,thx checking never got via phone hold hour long long wait hold ugh csfail
neutral,referral program milageplus explorer card
negative,else would know denied
neutral,obviously
negative,allow shady rd party service sell ticket refuse help customer who left holding bag flyunited
negative,hour phonehung onall want different flight day open seat greatservice
